adcode,name,level,parent,suffix,lng,lat,py,pyf,p1
410000,河南,province,,省,113.753094,34.767052,henan,hn,h
440000,广东,province,,省,113.266887,23.133306,guangdong,gd,g
230000,黑龙江,province,,省,126.661998,45.742253,heilongjiang,hlj,h
420000,湖北,province,,省,114.341552,30.546222,hubei,hb,h
210000,辽宁,province,,省,123.435093,41.836743,liaoning,ln,l
370000,山东,province,,省,117.020725,36.670201,shandong,sd,s
610000,陕西,province,,省,108.953939,34.266611,shanxi,sx,s
310000,上海,province,,市,121.473667,31.230525,shanghai,sh,s
520000,贵州,province,,省,106.705251,26.600328,guizhou,gz,g
500000,重庆,province,,市,106.550483,29.563707,chongqing,cq,c
340000,安徽,province,,省,117.330139,31.734559,anhui,ah,a
350000,福建,province,,省,119.296194,26.101082,fujian,fj,f
430000,湖南,province,,省,112.982951,28.116007,hunan,hn,h
460000,海南,province,,省,110.348781,20.018639,hainan,hn,h
320000,江苏,province,,省,118.763563,32.061377,jiangsu,js,j
630000,青海,province,,省,101.780482,36.622538,qinghai,qh,q
330000,浙江,province,,省,120.152575,30.266619,zhejiang,zj,z
130000,河北,province,,省,114.530399,38.037707,hebei,hb,h
620000,甘肃,province,,省,103.826777,36.060634,gansu,gs,g
510000,四川,province,,省,104.076452,30.651696,sichuan,sc,s
110000,北京,province,,市,116.407387,39.904179,beijing,bj,b
120000,天津,province,,市,117.201509,39.085318,tianjin,tj,t
360000,江西,province,,省,115.816587,28.637234,jiangxi,jx,j
220000,吉林,province,,省,125.325802,43.896942,jilin,jl,j
140000,山西,province,,省,112.578781,37.813948,shanxi,sx,s
530000,云南,province,,省,102.709372,25.046432,yunnan,yn,y
410300,洛阳,city,410000.0,市,112.453895,34.619702,luoyang,ly,l
411200,三门峡,city,410000.0,市,111.200482,34.773196,sanmenxia,smx,s
411100,漯河,city,410000.0,市,114.0166,33.58038,tahe,th,t
411000,许昌,city,410000.0,市,113.852004,34.03732,xuchang,xc,x
411300,南阳,city,410000.0,市,112.528549,32.990218,nanyang,ny,n
411500,信阳,city,410000.0,市,114.091058,32.148624,xinyang,xy,x
419001,济源,city,410000.0,市,112.602347,35.069057,jiyuan,jy,j
410900,濮阳,city,410000.0,市,115.029246,35.762731,puyang,py,p
411700,驻马店,city,410000.0,市,114.021988,33.014038,zhumadian,zmd,z
410600,鹤壁,city,410000.0,市,114.297305,35.748329,hebi,hb,h
410100,郑州,city,410000.0,市,113.625351,34.746303,zhengzhou,zz,z
410800,焦作,city,410000.0,市,113.241902,35.215726,jiaozuo,jz,j
410700,新乡,city,410000.0,市,113.92679,35.303589,xinxiang,xx,x
410500,安阳,city,410000.0,市,114.39248,36.098779,anyang,ay,a
410400,平顶山,city,410000.0,市,113.192595,33.766554,pingdingshan,pds,p
411400,商丘,city,410000.0,市,115.656358,34.415165,shangqiu,sq,s
411600,周口,city,410000.0,市,114.701222,33.634652,zhoukou,zk,z
410200,开封,city,410000.0,市,114.314278,34.798083,kaifeng,kf,k
440500,汕头,city,440000.0,市,116.681956,23.354152,shantou,st,s
440600,佛山,city,440000.0,市,113.121586,23.021351,foshan,fs,f
441200,肇庆,city,440000.0,市,112.465245,23.047747,zhaoqing,zq,z
441300,惠州,city,440000.0,市,114.415587,23.112368,huizhou,hz,h
440300,深圳,city,440000.0,市,114.057939,22.543527,shenzhen,sz,s
440400,珠海,city,440000.0,市,113.576892,22.271644,zhuhai,zh,z
440900,茂名,city,440000.0,市,110.925533,21.662728,maoming,mm,m
441600,河源,city,440000.0,市,114.700215,23.744276,heyuan,hy,h
440700,江门,city,440000.0,市,113.081548,22.578948,jiangmen,jm,j
445300,云浮,city,440000.0,市,112.044524,22.915163,yunfu,yf,y
441700,阳江,city,440000.0,市,111.98343,21.856853,yangjiang,yj,y
445200,揭阳,city,440000.0,市,116.372732,23.550968,jieyang,jy,j
440800,湛江,city,440000.0,市,110.357538,21.270108,zhanjiang,zj,z
441400,梅州,city,440000.0,市,116.122046,24.288832,meizhou,mz,m
445100,潮州,city,440000.0,市,116.621901,23.657662,chaozhou,cz,c
441500,汕尾,city,440000.0,市,115.375557,22.787204,shanwei,sw,s
440200,韶关,city,440000.0,市,113.597324,24.810977,shaoguan,sg,s
441800,清远,city,440000.0,市,113.056098,23.682064,qingyuan,qy,q
442000,中山,city,440000.0,市,113.392517,22.517024,zhongshan,zs,z
441900,东莞,city,440000.0,市,113.751884,23.021016,dongguan,dg,d
440100,广州,city,440000.0,市,113.264499,23.130061,guangzhou,gz,g
230400,鹤岗,city,230000.0,市,130.297687,47.350659,hegang,hg,h
231200,绥化,city,230000.0,市,126.968714,46.654147,suihua,sh,s
230900,七台河,city,230000.0,市,131.003015,45.771178,qitaihe,qth,q
230700,伊春,city,230000.0,市,128.840863,47.728332,yichun,yc,y
230100,哈尔滨,city,230000.0,市,126.53505,45.802981,haerbin,heb,h
230800,佳木斯,city,230000.0,市,130.318916,46.800002,jiamusi,jms,j
230600,大庆,city,230000.0,市,125.104078,46.589498,daqing,dq,d
230500,双鸭山,city,230000.0,市,131.141563,46.676157,shuangyashan,sys,s
231100,黑河,city,230000.0,市,127.528226,50.244887,heihe,hh,h
231000,牡丹江,city,230000.0,市,129.632928,44.551486,mudanjiang,mdj,m
230200,齐齐哈尔,city,230000.0,市,123.918193,47.354892,qiqihaer,qqhe,q
230300,鸡西,city,230000.0,市,130.969385,45.295087,jixi,jx,j
420600,襄阳,city,420000.0,市,112.121743,32.010161,xiangyang,xy,x
420500,宜昌,city,420000.0,市,111.286962,30.69217,yichang,yc,y
420900,孝感,city,420000.0,市,113.956962,30.918311,xiaogan,xg,x
420300,十堰,city,420000.0,市,110.798921,32.629057,shiyan,sy,s
429006,天门,city,420000.0,市,113.166545,30.663706,tianmen,tm,t
420800,荆门,city,420000.0,市,112.199009,31.035445,jingmen,jm,j
420100,武汉,city,420000.0,市,114.304569,30.593354,wuhan,wh,w
421100,黄冈,city,420000.0,市,114.872425,30.453722,huanggang,hg,h
429005,潜江,city,420000.0,市,112.900279,30.401954,qianjiang,qj,q
421300,随州,city,420000.0,市,113.382324,31.690275,suizhou,sz,s
429004,仙桃,city,420000.0,市,113.442973,30.328407,xiantao,xt,x
421200,咸宁,city,420000.0,市,114.322601,29.84135,xianning,xn,x
421000,荆州,city,420000.0,市,112.24143,30.336282,jingzhou,jz,j
420200,黄石,city,420000.0,市,115.038999,30.201082,huangshi,hs,h
420700,鄂州,city,420000.0,市,114.894909,30.391461,ezhou,ez,e
211400,葫芦岛,city,210000.0,市,120.836783,40.710974,huludao,hld,h
210200,大连,city,210000.0,市,121.614786,38.913962,dalian,dl,d
210600,丹东,city,210000.0,市,124.354419,40.000646,dandong,dd,d
210700,锦州,city,210000.0,市,121.126859,41.096114,jinzhou,jz,j
210100,沈阳,city,210000.0,市,123.464675,41.677576,shenyang,sy,s
210400,抚顺,city,210000.0,市,123.957053,41.881311,fushun,fs,f
211200,铁岭,city,210000.0,市,123.726008,42.223709,tieling,tl,t
210800,营口,city,210000.0,市,122.219148,40.625027,yingkou,yk,y
210900,阜新,city,210000.0,市,121.670052,42.022028,fuxin,fx,f
211100,盘锦,city,210000.0,市,122.170729,40.71956,panjin,pj,p
210500,本溪,city,210000.0,市,123.684984,41.486834,benxi,bx,b
210300,鞍山,city,210000.0,市,122.994183,41.108239,anshan,as,a
211000,辽阳,city,210000.0,市,123.239669,41.267396,liaoyang,ly,l
211300,朝阳,city,210000.0,市,120.488801,41.601855,zhaoyang,zy,z
370600,烟台,city,370000.0,市,121.447755,37.464551,yantai,yt,y
370200,青岛,city,370000.0,市,120.382665,36.066938,qingdao,qd,q
371000,威海,city,370000.0,市,122.120519,37.513315,weihai,wh,w
370300,淄博,city,370000.0,市,118.054994,36.813787,zibo,zb,z
371500,聊城,city,370000.0,市,115.985238,36.455857,liaocheng,lc,l
370500,东营,city,370000.0,市,118.674633,37.433992,dongying,dy,d
371600,滨州,city,370000.0,市,117.970731,37.382687,binzhou,bz,b
370400,枣庄,city,370000.0,市,117.323759,34.810858,zaozhuang,zz,z
370100,济南,city,370000.0,市,117.120128,36.652069,jinan,jn,j
371700,菏泽,city,370000.0,市,115.479646,35.234309,heze,hz,h
370900,泰安,city,370000.0,市,117.086963,36.201784,taian,ta,t
371400,德州,city,370000.0,市,116.359244,37.436492,dezhou,dz,d
370800,济宁,city,370000.0,市,116.587116,35.415117,jining,jn,j
371300,临沂,city,370000.0,市,118.356464,35.103771,linyi,ly,l
370700,潍坊,city,370000.0,市,119.161721,36.707668,weifang,wf,w
371100,日照,city,370000.0,市,119.52685,35.416912,rizhao,rz,r
610800,榆林,city,610000.0,市,109.734104,38.28576,yulin,yl,y
610200,铜川,city,610000.0,市,108.945116,34.897133,tongchuan,tc,t
611000,商洛,city,610000.0,市,109.918646,33.873358,shangluo,sl,s
610700,汉中,city,610000.0,市,107.02319,33.066373,hanzhong,hz,h
610600,延安,city,610000.0,市,109.49468,36.650109,yanan,ya,y
610100,西安,city,610000.0,市,108.939645,34.343207,xian,xa,x
610400,咸阳,city,610000.0,市,108.708837,34.329896,xianyang,xy,x
610300,宝鸡,city,610000.0,市,107.237682,34.362862,baoji,bj,b
610500,渭南,city,610000.0,市,109.470962,34.520632,weinan,wn,w
610900,安康,city,610000.0,市,109.029017,32.685435,ankang,ak,a
310100,上海,city,310000.0,市,121.472644,31.231706,shanghai,sh,s
520200,六盘水,city,520000.0,市,104.830357,26.592538,liupanshui,lps,l
520300,遵义,city,520000.0,市,107.031922,27.721931,zunyi,zy,z
520600,铜仁,city,520000.0,市,109.189528,27.731555,tongren,tr,t
520400,安顺,city,520000.0,市,105.9476,26.253103,anshun,as,a
520500,毕节,city,520000.0,市,105.291544,27.283615,bijie,bj,b
520100,贵阳,city,520000.0,市,106.628201,26.646694,guiyang,gy,g
500100,重庆,city,500000.0,市,106.504962,29.533155,chongqing,cq,c
340800,安庆,city,340000.0,市,117.115349,30.531828,anqing,aq,a
340700,铜陵,city,340000.0,市,117.811298,30.945214,tongling,tl,t
340500,马鞍山,city,340000.0,市,118.50685,31.668765,maanshan,mas,m
341200,阜阳,city,340000.0,市,115.814252,32.891032,fuyang,fy,f
340600,淮北,city,340000.0,市,116.798362,33.956264,huaibei,hb,h
341700,池州,city,340000.0,市,117.495663,30.674264,chizhou,cz,c
341000,黄山,city,340000.0,市,118.337643,29.714886,huangshan,hs,h
340300,蚌埠,city,340000.0,市,117.388566,32.91682,bengbu,bb,b
341800,宣城,city,340000.0,市,118.759127,30.939278,xuancheng,xc,x
341100,滁州,city,340000.0,市,118.333439,32.255904,chuzhou,cz,c
341300,宿州,city,340000.0,市,116.96419,33.647726,suzhou,sz,s
340400,淮南,city,340000.0,市,117.018603,32.585384,huainan,hn,h
340200,芜湖,city,340000.0,市,118.433065,31.352614,wuhu,wh,w
341500,六安,city,340000.0,市,116.519729,31.735892,luan,la,l
341600,亳州,city,340000.0,市,115.778588,33.846285,bozhou,bz,b
340100,合肥,city,340000.0,市,117.227267,31.820567,hefei,hf,h
350600,漳州,city,350000.0,市,117.647298,24.515297,zhangzhou,zz,z
350700,南平,city,350000.0,市,118.081325,27.382829,nanping,np,n
350300,莆田,city,350000.0,市,119.007662,25.454202,putian,pt,p
350200,厦门,city,350000.0,市,118.08891,24.479627,xiamen,xm,x
350900,宁德,city,350000.0,市,119.547729,26.666222,ningde,nd,n
350100,福州,city,350000.0,市,119.296411,26.074286,fuzhou,fz,f
350500,泉州,city,350000.0,市,118.675724,24.874452,quanzhou,qz,q
350800,龙岩,city,350000.0,市,117.017362,25.075884,longyan,ly,l
350400,三明,city,350000.0,市,117.638919,26.263455,sanming,sm,s
